email,name,score,city
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Alice  Smith,90,L.A.
dave@test.com,Alice  Smith,92,Seattle
alice@test.com,Alice  Smith,85,New York
bob@test.com,Alice  Smith,90,Los Angeles
charlie@test.com,Alice  Smith,88,Chicago
alice@test.com,Alice  Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
alice@test.com,Alice Smith,85,New York
bob@test.com,Bob Jones,90,Los Angeles
charlie@test.com,Charlie Brown,88,Chicago
alice@test.com,Alice Smith,85,New York
BOB@TEST.COM,Bob Jones,90,L.A.
dave@test.com,Dave Wilson,92,Seattle
