full_name,phone,address,notes
  john DOE  ,(555) 123-4567,123 Main St.,<p>Customer since 2020</p>
Mary-Jane,555.123.4567,456 Oak ave,VIP user (see: http://crm.com/123)
"O'Connor, Tim",5551234567,789 Pine BLVD.,  check  history  
alice   white,+1-555-123-4567,101 Maple dr,no notes
BOB,invalid,202 Elm Street,<b>Important!</b>
  john DOE  ,(555) 123-4567,123 Main St.,<p>Customer since 2020</p>
Mary-Jane,555.123.4567,456 Oak ave,VIP user (see: http://crm.com/123)
"O'Connor, Tim",5551234567,789 Pine BLVD.,  check  history  
alice   white,+1-555-123-4567,101 Maple dr,no notes
BOB,invalid,202 Elm Street,<b>Important!</b>
  john DOE  ,(555) 123-4567,123 Main St.,<p>Customer since 2020</p>
Mary-Jane,555.123.4567,456 Oak ave,VIP user (see: http://crm.com/123)
"O'Connor, Tim",5551234567,789 Pine BLVD.,  check  history  
alice   white,+1-555-123-4567,101 Maple dr,no notes
BOB,invalid,202 Elm Street,<b>Important!</b>
  john DOE  ,(555) 123-4567,123 Main St.,<p>Customer since 2020</p>
Mary-Jane,555.123.4567,456 Oak ave,VIP user (see: http://crm.com/123)
"O'Connor, Tim",5551234567,789 Pine BLVD.,  check  history  
alice   white,+1-555-123-4567,101 Maple dr,no notes
BOB,invalid,202 Elm Street,<b>Important!</b>
  john DOE  ,(555) 123-4567,123 Main St.,<p>Customer since 2020</p>
Mary-Jane,555.123.4567,456 Oak ave,VIP user (see: http://crm.com/123)
"O'Connor, Tim",5551234567,789 Pine BLVD.,  check  history  
alice   white,+1-555-123-4567,101 Maple dr,no notes
BOB,invalid,202 Elm Street,<b>Important!</b>
  john DOE  ,(555) 123-4567,123 Main St.,<p>Customer since 2020</p>
Mary-Jane,555.123.4567,456 Oak ave,VIP user (see: http://crm.com/123)
"O'Connor, Tim",5551234567,789 Pine BLVD.,  check  history  
alice   white,+1-555-123-4567,101 Maple dr,no notes
BOB,invalid,202 Elm Street,<b>Important!</b>
  john DOE  ,(555) 123-4567,123 Main St.,<p>Customer since 2020</p>
Mary-Jane,555.123.4567,456 Oak ave,VIP user (see: http://crm.com/123)
"O'Connor, Tim",5551234567,789 Pine BLVD.,  check  history  
alice   white,+1-555-123-4567,101 Maple dr,no notes
BOB,invalid,202 Elm Street,<b>Important!</b>
  john DOE  ,(555) 123-4567,123 Main St.,<p>Customer since 2020</p>
Mary-Jane,555.123.4567,456 Oak ave,VIP user (see: http://crm.com/123)
"O'Connor, Tim",5551234567,789 Pine BLVD.,  check  history  
