order_date,customer_id,email,product_id,quantity,price,shipping_status
2024-04-12,7376,user208@hotmail.com,PROD-642,5.0,27.347234419622964,DELIVERED
2024-12-14,Customer 3393,user349company.com,PROD-626,9.0,99.34394789001497,Shipped
2024-09-27,C8240, user958@company.com ,PROD-645,874.0,77.17231773189052,In Transit
2024-04-16,C7190,user951@yahoo.com,PROD-942,1.0,147.40359713505157,Shipped
2024-03-12,CUS-7493,user519@yahoo.com,PROD-115,7.0,159,delivered
2024-07-07,CUST-3878,user212@gmail.com,PROD-904,2.0,78.85196812567642,SHIPPED
2024-01-21,5432,user869@company.com,PROD-735,2.0,67.69928692682362,shipped
2024-04-12,C2276,user365@yahoo.com,PROD-713,7.0,187.16343815775917,In Transit
2024-05-01,Customer 1302,user870@hotmail.com,PROD-328,2.0,84.0473107282346,pending
2024-08-02,C9150,user486yahoo.com,PROD-609,9.0,120.09389473014963,SHIPPED
2024-11-26,C1364,user367@outlook.com,PROD-672,1.0,125.5505217521193,pending
2024-03-28,C5621,user456@company.com,PROD-714,2.0,71.479533670291,in transit
2025-01-07,CUST-6126,user507@gmail.com,PROD-462,4.0,102.15367725700301,delivered
2024-04-09,CUST-2646,user519@outlook.com,PROD-458,1.0,144.54228514875845,Pending
2024-12-25,CUST-6870,user129@hotmail.com,PROD-423,6.0,151.09553654472006,delivered
2024-05-31,Customer 9172,user271@gmail.com,PROD-724,4.0,187.33134483697407,pending
2024-05-10,C8673,user924@hotmail.com,PROD-672,4.0,20.24425467120443,Delivered
2024-05-29,CUST-2906, user767@company.com ,PROD-554,6.0,103.06981143299305,delivered
2024-11-04,CUS-6750,user932@gmail.com,PROD-836,8.0,116.42978652077954,in transit
2024-09-14,9905,user518@outlook.com,PROD-726,4.0,152,Pending
2024-12-09,CUS-2296,user980@company.com,PROD-109,1.0,16.50541887900305,Pending
2025-02-17,C1125,user585@gmail.com,PROD-580,9.0,48.4226644072271,pending
2024-10-20,Customer 5632,user475@outlook.com,PROD-968,4.0,127.0813929497464,pending
2025-01-20,CUS-4596,user529@outlook.cm,PROD-151,3.0,69.11678446909944,In-Transit
